                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.404,                  0.375,                      1,                 1.3691,                 0.0991,                 0.0001,                 0.0001
                      2,                 1.2479,                   0.75,                      1,                 1.3516,                0.09727,              0.0002703,              0.0002703
                      3,                 1.0661,                  0.625,                      1,                 1.3272,               0.095401,               0.000401,               0.000401
                      4,                0.82755,                    0.5,                      1,                 1.2754,               0.093492,              0.0004921,              0.0004921
                      5,                0.64282,                  0.625,                      1,                 1.2129,               0.091544,              0.0005436,              0.0005436
                      6,                0.47718,                    0.5,                      1,                 1.1602,               0.089556,              0.0005555,              0.0005555
                      7,                0.34282,                  0.625,                      1,                 1.1152,               0.087528,              0.0005278,              0.0005278
                      8,                0.22628,                  0.625,                      1,                 1.1006,               0.085461,              0.0004605,              0.0004605
                      9,                0.20424,                  0.625,                      1,                 1.0967,               0.083354,              0.0003536,              0.0003536
                     10,                0.12955,                  0.625,                      1,                 1.0918,               0.081207,              0.0002071,              0.0002071
