                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2352,                  0.625,                      1,                 1.2832,                 0.0946,                 0.0006,                 0.0006
                      2,                0.53034,                 0.5625,                      1,                 1.1211,               0.088171,              0.0011713,              0.0011713
                      3,                0.24182,                  0.625,                      1,                 1.1152,               0.081604,               0.001604,               0.001604
                      4,                0.14938,                  0.625,                      1,                 1.0859,               0.074898,              0.0018981,              0.0018981
                      5,                0.33922,                  0.625,                      1,                 1.0977,               0.068054,              0.0020536,              0.0020536
                      6,                 0.0655,                 0.5625,                      1,                 1.1807,               0.061071,              0.0020705,              0.0020705
                      7,                0.29443,                 0.6875,                      1,                 1.0576,               0.053949,              0.0019488,              0.0019488
                      8,                0.34973,                   0.75,                      1,                 1.0215,               0.046689,              0.0016885,              0.0016885
                      9,                0.28543,                 0.6875,                      1,                 1.0566,                0.03929,              0.0012896,              0.0012896
                     10,                0.18141,                 0.6875,                      1,                 1.0488,               0.031752,              0.0007521,              0.0007521
